frame,car,bike,auto,bus,truck,total,weighted
0,9,4,0,0,0,13,11.0
60,9,3,1,0,1,14,13.8
120,9,4,1,1,1,16,17.3
180,9,4,0,1,1,15,16.5
240,10,5,0,0,0,15,12.5
300,10,8,1,0,0,19,14.8
360,11,5,0,0,0,16,13.5
420,14,6,0,2,1,23,25.5
480,13,5,0,1,3,22,26.0
540,11,5,0,1,1,18,19.0
600,12,5,1,1,0,19,18.3
660,13,4,0,1,0,18,18.0
720,16,5,0,1,0,22,21.5
780,11,3,0,1,0,15,15.5
840,8,0,0,1,0,9,11.0
900,10,0,1,1,1,13,16.3
960,8,8,1,1,0,18,15.8
1020,8,8,1,1,1,19,18.3
1080,10,11,0,1,2,24,23.5
1140,10,7,0,2,1,20,22.0
1200,11,9,0,1,2,23,23.5
1260,6,4,0,2,0,12,14.0
1320,7,3,0,1,2,13,16.5
1380,5,5,0,2,1,13,16.0
1440,8,3,0,3,1,15,21.0
1500,7,4,0,2,1,14,17.5
1560,10,7,0,0,1,18,16.0
1620,11,6,2,0,4,23,25.6
1680,10,5,1,1,3,20,23.8
1740,7,4,1,1,2,15,17.8
1800,6,6,0,2,1,15,17.5
1860,5,9,0,3,3,20,26.0
1920,6,14,1,1,2,24,21.8
1980,5,7,0,2,2,16,19.5
2040,8,6,0,2,4,20,27.0
2100,14,9,0,2,3,28,32.0
2160,10,4,0,2,2,18,23.0
2220,11,4,0,1,3,19,23.5
2280,11,1,0,2,2,16,22.5
2340,10,0,0,1,2,13,18.0
2400,9,1,0,2,1,13,18.0
2460,9,3,0,2,1,15,19.0
2520,12,2,0,2,2,18,24.0
2580,14,2,0,2,1,19,23.5
2640,9,2,0,1,3,15,20.5
2700,5,0,0,3,1,9,16.5
2760,1,0,0,4,0,5,13.0
2820,4,0,0,3,0,7,13.0
2880,5,1,0,2,1,9,14.0
2940,3,2,0,1,1,7,9.5
3000,2,1,0,1,2,6,10.5
3060,3,0,0,2,2,7,14.0
3120,2,2,0,4,4,12,25.0
3180,5,3,0,2,2,12,17.5
3240,3,2,0,2,3,10,17.5
3300,5,3,0,1,4,13,19.5
3360,8,4,0,2,2,16,21.0
3420,7,1,0,2,2,12,18.5
3480,5,7,0,2,0,14,14.5
3540,3,3,0,2,3,11,18.0
3600,4,7,0,2,2,15,18.5
3660,5,9,0,2,4,20,25.5
3720,3,7,0,2,0,12,12.5
3780,6,1,0,2,1,10,15.0
3840,6,2,0,2,1,11,15.5
3900,7,4,0,2,0,13,15.0
3960,5,6,0,2,2,15,19.0
4020,5,4,0,2,2,13,18.0
4080,10,1,0,2,1,14,19.0
4140,8,2,0,1,1,12,14.5
4200,6,4,0,2,1,13,16.5
4260,4,2,0,3,0,9,14.0
4320,4,3,0,2,2,11,16.5
4380,3,1,0,2,0,6,9.5
4440,3,2,0,2,0,7,10.0
4500,1,0,0,2,0,3,7.0
4560,2,0,0,2,1,5,10.5
4620,2,1,0,2,0,5,8.5
4680,3,1,0,2,1,7,12.0
4740,3,2,0,2,1,8,12.5
4800,3,2,0,2,1,8,12.5
4860,4,2,0,2,1,9,13.5
4920,2,2,0,2,0,6,9.0
4980,5,2,0,2,0,9,12.0
5040,2,2,1,2,0,7,9.8
5100,2,2,0,3,0,7,12.0
5160,2,2,0,2,0,6,9.0
5220,2,2,0,2,0,6,9.0
5280,3,2,0,2,0,7,10.0
5340,2,2,0,3,0,7,12.0
5400,3,3,0,2,0,8,10.5
5460,1,1,0,2,1,5,10.0
5520,2,1,0,2,2,7,13.5
5580,4,3,0,2,1,10,14.0
5640,4,2,0,2,0,8,11.0
5700,4,3,0,2,1,10,14.0
5760,4,4,1,2,1,12,15.3
5820,4,4,1,2,1,12,15.3
5880,3,4,0,3,1,11,16.5
5940,4,3,1,2,1,11,14.8
6000,2,3,0,2,0,7,9.5
6060,4,0,0,2,1,7,12.5
6120,2,1,0,2,1,6,11.0
6180,2,3,0,2,1,8,12.0
6240,4,4,3,3,2,16,22.4
6300,7,8,1,2,1,19,20.3
6360,5,2,0,1,3,11,16.5
6420,5,2,0,2,2,11,17.0
6480,5,6,0,2,1,14,16.5
6540,7,4,0,1,1,13,14.5
6600,3,4,0,1,2,10,13.0
6660,6,5,0,3,1,15,20.0
6720,7,5,0,1,0,13,12.5
6780,7,8,0,0,1,16,13.5
6840,8,3,0,0,1,12,12.0
6900,4,7,0,1,1,13,13.0
6960,5,7,2,0,2,16,15.1
7020,8,9,1,0,1,19,15.8
7080,5,7,2,0,3,17,17.6
7140,11,7,0,0,3,21,22.0
7200,6,4,0,0,0,10,8.0
7260,9,9,1,0,0,19,14.3
7320,5,6,0,0,1,12,10.5
7380,5,10,0,1,1,17,15.5
7440,4,8,1,0,1,14,11.3
7500,4,10,2,1,4,21,23.6
7560,4,6,2,2,2,16,19.6
7620,3,7,1,0,1,12,9.8
7680,6,6,2,0,1,15,13.1
7740,2,7,1,0,0,10,6.3
7800,1,7,1,0,0,9,5.3
7860,0,8,2,0,0,10,5.6
7920,4,6,0,0,0,10,7.0
7980,3,5,0,1,1,10,11.0
